universities_id,universities_name
1125760.0,המכללה האקדמית להנדסה ירושלים (Jerusalem College of Engineering (JCE))
1125753.0,האקדמיה למוסיקה ולמחול בירושלים (The Jerusalem Academy of Music and Dance)
1124674.0,Valdosta State University
1120733.0,Colorado State University
1120536.0,University of Colorado Denver
1119886.0,Savannah College of Art and Design
1119339.0,University of Colorado at Boulder
1118335.0,Université Gamal Abdel Nasser de Conakry
1118315.0,"Я владею особой, qweqwe магией ^_^"
1116166.0,"University of Minnesota, Twin Cities"
1116157.0,University of St. Thomas
1114119.0,Milwaukee Institute of Art and Design
1114084.0,Туринский политехнический университет
1112043.0,University of Wisconsin - Madison
1108158.0,המכללה האקדמית הדסה (Hadassah College Jerusalem)
1108099.0,"University of Maryland, College Park"
1106447.0,Johns Hopkins University
1106356.0,University of Maryland Global Campus
1106297.0,Lindenwood University
1106270.0,Baptist Bible College
1105117.0,Université Libre du Burkina (ULB)
1104478.0,University of Missouri
1103107.0,בצלאל אקדמיה לאמנות ועיצוב ירושלים (Bezalel Academy of Arts and Design)
1102775.0,Cumberland University
1102729.0,University of Tennessee
1102584.0,Massachusetts Institute of Technology
1102583.0,Lesley University
1101600.0,"מכון למדע וטכנולוגיה ע""ש בן גוריו (BGIT)"
1100861.0,Georgia State University
1100859.0,Georgia Institute of Technology
1100815.0,University of Georgia
1100770.0,МТС
1100687.0,Indiana University-Purdue University Indianapolis
1096672.0,מכללה האקדמית אשקלון (Ashkelon Academic College)
1096201.0,Indiana University Bloomington
1095487.0,המרכז האוניברסיטאי אריאל בשומרון (Ariel University Center of Samaria)
1095097.0,Построй свой мир сам
1095042.0,אפקה - המכללה האקדמית להנדסה (Afeka College of Engineering)
1094844.0,College of William and Mary
1092532.0,James Madison University
1092301.0,University of Mary Washington
1091178.0,George Mason University
1090991.0,University of Virginia
1090412.0,Virginia Polytechnic Institute and State University
1090284.0,Argosy University - Washington DC Campus
1088815.0,South Valley University جامعة جنوب الوادي
1088750.0,University of Washington
1088144.0,Tufts University
1088076.0,Bridgewater State College
1088061.0,Babson College
1088056.0,Atlantic UNION College
1088044.0,Wentworth Institute of Technology
1088040.0,The New England Conservatory of Music
1088036.0,Northeastern University
1088035.0,New England School of Photography
1088034.0,New England School of Law
1088030.0,Massachusetts College of Pharmacy & Health Sciences
1088028.0,Gibbs College - Boston
1088023.0,Boston University
1088020.0,Berklee College of Music
1088018.0,Bay State College - Boston
1086600.0,University of Arizona
1086043.0,Arizona State University at the West Campus
1085703.0,LBK
1084167.0,Rabbinical College of America
1084067.0,Montclair State University
1079410.0,North Carolina State University
1079266.0,КУЦ ДонНУЭТ
1077791.0,Duke University
